Owner,Player,Position,Old Years Kept,New Years Kept,Draft Round 2020,Keeper Cost 2021,Eligible,Note
Andjita,John Brown,WR,1,1,12,11,True,
Andjita,Tyler Lockett,WR,1,1,4,3,True,
Andjita,Raheem Mostert,RB,0,0,7,6,True,
Andjita,Michael Thomas,WR,0,0,1,0,False,Ineligible. Drafted in first round.
Andjita,Dak Prescott,QB,1,1,5,4,True,
Andjita,J.D. McKissic,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Andjita,Mitchell Trubisky,QB,0,0,9,8,False,Ineligible. Added after trade deadline.
Andjita,Kenny Golladay,WR,0,0,2,1,True,
Andjita,James Conner,RB,0,0,3,2,True,
Andjita,Allen Lazard,WR,0,0,14,13,True,
Andjita,Nyheim Hines,RB,0,0,15,14,True,
Andjita,Antonio Brown,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Andjita,Drew Lock,QB,0,0,10,9,True,
Andjita,Jakobi Meyers,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Andjita,Myles Gaskin,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Andjita,D'Andre Swift,RB,0,0,8,7,True,
Andjita,Brandon Aiyuk,WR,0,0,14,13,True,
Andjita,Cam Newton,QB,0,0,6,5,True,
Andjita,Washington Football Team,DEF,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Ninked,DeAndre Hopkins,WR,0,0,2,1,True,
Ninked,Duke Johnson,RB,0,0,11,10,True,
Ninked,David Johnson,RB,0,0,3,2,True,
Ninked,Dalvin Cook,RB,0,0,1,0,False,Ineligible. Drafted in first round.
Ninked,Taysom Hill,QB,0,0,9,8,False,Ineligible. Added after trade deadline.
Ninked,Matt Breida,RB,1,1,10,9,True,
Ninked,Calvin Ridley,WR,1,1,4,3,True,
Ninked,Courtland Sutton,WR,1,1,7,6,True,
Ninked,Justin Jackson,RB,0,0,14,13,True,
Ninked,Dwayne Haskins,QB,0,0,13,12,False,Ineligible. Added after trade deadline.
Ninked,Terry McLaurin,WR,1,1,8,7,True,
Ninked,Hunter Renfrow,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Ninked,Gardner Minshew,QB,0,0,11,10,False,Ineligible. Added after trade deadline.
Ninked,Chase Claypool,WR,0,0,14,13,True,
Ninked,James Robinson,RB,0,0,15,14,True,
Ninked,Joshua Kelley,RB,0,0,15,14,False,Ineligible. Added after trade deadline.
Ninked,Seattle Seahawks,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
chilliah,Derek Carr,QB,0,0,11,10,True,
chilliah,Davante Adams,WR,0,0,1,0,False,Ineligible. Drafted in first round.
chilliah,Amari Cooper,WR,1,1,3,2,True,
chilliah,DeVante Parker,WR,0,0,6,5,True,
chilliah,Matt Ryan,QB,0,0,4,3,True,
chilliah,Jamison Crowder,WR,0,0,9,8,True,
chilliah,Darren Waller,TE,1,1,7,6,True,
chilliah,Chris Carson,RB,1,1,2,1,True,
chilliah,Austin Ekeler,RB,1,1,8,7,True,
chilliah,Lamar Jackson,QB,1,1,5,4,True,
chilliah,Chase Edmonds,RB,0,0,14,13,True,
chilliah,Keke Coutee,WR,0,0,9,8,False,Ineligible. Added after trade deadline.
chilliah,Jeff Wilson,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
chilliah,Michael Pittman,WR,0,0,9,8,True,
chilliah,Chicago Bears,DEF,0,0,16,15,False,Ineligible. Added after trade deadline.
chilliah,Cleveland Browns,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
MeatWizard,Cole Beasley,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
MeatWizard,Kirk Cousins,QB,0,0,9,8,True,
MeatWizard,Eric Ebron,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
MeatWizard,Teddy Bridgewater,QB,0,0,10,9,True,
MeatWizard,Logan Thomas,TE,0,0,9,8,False,Ineligible. Added after trade deadline.
MeatWizard,Breshad Perriman,WR,0,0,15,14,False,Ineligible. Added after trade deadline.
MeatWizard,Tyler Boyd,WR,0,0,7,6,True,
