The YAFL 2.0 Eligible Keepers for 2020
MeatWizard is a little scope-creeping bitch
Delete these first 3 lines and it will import nice as a CSV.
Manager,Player_Name,Position,Keeper_Cost,Years_kept
Andjita,John Brown,WR,11,1
Andjita,Tyler Lockett,WR,3,1
Andjita,Raheem Mostert,RB,6,0
Andjita,Michael Thomas,WR,0,0
Andjita,Dak Prescott,QB,4,1
Andjita,J.D. McKissic,RB,8,0
Andjita,Kenny Golladay,WR,1,0
Andjita,James Conner,RB,2,0
Andjita,Allen Lazard,WR,13,0
Andjita,Nyheim Hines,RB,14,0
Andjita,Antonio Brown,WR,8,0
Andjita,Drew Lock,QB,9,0
Andjita,Jakobi Meyers,WR,8,0
Andjita,Myles Gaskin,RB,8,0
Andjita,D'Andre Swift,RB,7,0
Andjita,Brandon Aiyuk,WR,13,0
Andjita,Cam Newton,QB,5,0
Andjita,Washington Football Team,DEF,8,0
Ninked,DeAndre Hopkins,WR,1,0
Ninked,Duke Johnson,RB,10,0
Ninked,David Johnson,RB,2,0
Ninked,Dalvin Cook,RB,0,0
Ninked,Matt Breida,RB,9,1
Ninked,Calvin Ridley,WR,3,1
Ninked,Courtland Sutton,WR,6,1
Ninked,Justin Jackson,RB,13,0
Ninked,Terry McLaurin,WR,7,1
Ninked,Hunter Renfrow,WR,8,0
Ninked,Chase Claypool,WR,13,0
Ninked,James Robinson,RB,14,0
chilliah,Derek Carr,QB,10,0
chilliah,Davante Adams,WR,0,0
chilliah,Amari Cooper,WR,2,1
chilliah,DeVante Parker,WR,5,0
chilliah,Matt Ryan,QB,3,0
chilliah,Jamison Crowder,WR,8,0
chilliah,Darren Waller,TE,6,1
chilliah,Chris Carson,RB,1,1
chilliah,Austin Ekeler,RB,7,1
chilliah,Lamar Jackson,QB,4,1
chilliah,Chase Edmonds,RB,13,0
chilliah,Michael Pittman,WR,8,0
MeatWizard,Cole Beasley,WR,8,0
MeatWizard,Kirk Cousins,QB,8,0
MeatWizard,Eric Ebron,TE,8,0
MeatWizard,Teddy Bridgewater,QB,9,0
MeatWizard,Tyler Boyd,WR,6,0
MeatWizard,Joe Mixon,RB,0,1
MeatWizard,Chris Godwin,WR,2,1
MeatWizard,Jamaal Williams,RB,8,0
MeatWizard,Wayne Gallman,RB,8,0
MeatWizard,Tarik Cohen,RB,11,0
MeatWizard,Aaron Jones,RB,1,1
MeatWizard,Tim Patrick,WR,8,0
MeatWizard,Preston Williams,WR,12,0
MeatWizard,Miles Sanders,RB,3,1
MeatWizard,Andy Dalton,QB,8,0
Emrtz,Ben Roethlisberger,QB,6,0
Emrtz,Odell Beckham,WR,2,0
Emrtz,Tevin Coleman,RB,10,0
Emrtz,Sterling Shepard,WR,8,0
Emrtz,Deshaun Watson,QB,1,0
Emrtz,JuJu Smith-Schuster,WR,4,0
Emrtz,Mike Williams,WR,11,0
Emrtz,Boston Scott,RB,12,0
Emrtz,DK Metcalf,WR,3,0
Emrtz,Deebo Samuel,WR,9,0
Emrtz,N'Keal Harry,WR,13,0
Emrtz,Clyde Edwards-Helaire,RB,0,0
Emrtz,Antonio Gibson,RB,5,0
Trickydick514,Travis Kelce,TE,1,0
Trickydick514,James White,RB,8,0
Trickydick514,Mike Davis,RB,8,0
Trickydick514,Robby Anderson,WR,6,1
