Owner,Player,Position,Old Years Kept,New Years Kept,Draft Round,Keeper Cost,Eligible,Note
Andjita,Brandin Cooks,WR,0,0,10,9,True,
Andjita,Tyreek Hill,WR,1,1,3,2,True,
Andjita,Taysom Hill,QB,0,0,9,8,False,Ineligible. Added after trade deadline.
Andjita,Rashaad Penny,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
Andjita,Nick Chubb,RB,1,1,2,1,True,
Andjita,Michael Gallup,WR,0,0,12,11,True,
Andjita,Justin Jackson,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
Andjita,Darrel Williams,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Andjita,A.J. Brown,WR,0,0,5,4,True,
Andjita,Jakobi Meyers,WR,0,0,13,12,True,
Andjita,Foster Moreau,TE,0,0,9,8,False,Ineligible. Added after trade deadline.
Andjita,J.K. Dobbins,RB,0,0,15,14,True,
Andjita,Jonathan Taylor,RB,1,1,2,1,True,
Andjita,Jalen Hurts,QB,0,0,11,10,True,
Andjita,Pat Freiermuth,TE,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
Andjita,Chicago Bears,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
Ninked,Cole Beasley,WR,0,0,13,12,False,Ineligible. Added after trade deadline.
Ninked,Travis Kelce,TE,0,0,3,2,True,
Ninked,C.J. Uzomah,TE,0,0,9,8,False,Ineligible. Added after trade deadline.
Ninked,Tyler Boyd,WR,0,0,10,9,True,
Ninked,Dak Prescott,QB,0,0,7,6,True,
Ninked,Dalvin Cook,RB,1,1,1,0,False,Ineligible. Drafted in first round.
Ninked,Chase Edmonds,RB,0,0,8,7,False,Ineligible. Added after trade deadline.
Ninked,Mecole Hardman,WR,0,0,11,10,False,Ineligible. Added after trade deadline.
Ninked,Diontae Johnson,WR,0,0,7,6,True,
Ninked,CeeDee Lamb,WR,1,1,1,0,False,Ineligible. Drafted in first round.
Ninked,James Robinson,RB,1,1,1,0,False,Ineligible. Drafted in first round.
Ninked,Mac Jones,QB,0,0,13,12,True,
Ninked,Jaret Patterson,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
Ninked,Amon-Ra St. Brown,WR,0,0,14,13,True,
Ninked,Javonte Williams,RB,0,0,8,7,True,
Ninked,Seattle Seahawks,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
chilliah,DeVante Parker,WR,0,0,13,12,False,Ineligible. Added after trade deadline.
chilliah,Sterling Shepard,WR,0,0,14,13,True,
chilliah,Joe Mixon,RB,0,0,4,3,True,
chilliah,Samaje Perine,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
chilliah,Isaiah McKenzie,WR,0,0,9,8,False,Ineligible. Added after trade deadline.
chilliah,Aaron Jones,RB,0,0,3,2,True,
chilliah,George Kittle,TE,0,0,4,3,True,
chilliah,Ronald Jones,RB,0,0,9,8,False,Ineligible. Added after trade deadline.
chilliah,Marquez Valdes-Scantling,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
chilliah,Jeff Wilson,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
chilliah,Hunter Renfrow,WR,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
chilliah,Tee Higgins,WR,1,1,2,1,True,
chilliah,Elijah Mitchell,RB,0,0,9,8,True,Player not drafted. Set keeper cost to 8 round
chilliah,Aaron Rodgers,QB,0,0,2,1,True,
chilliah,New England Patriots,DEF,0,0,13,12,True,
chilliah,New Orleans Saints,DEF,0,0,9,8,False,Ineligible. Added after trade deadline.
MeatWizard,Odell Beckham,WR,0,0,6,5,True,
