Owner,Player,Years Kept
gnemos,Sony Michel,1
gnemos,DeAndre Hopkins,1
gnemos,Corey Davis,1
gocampo3619,Chris Carson,2
gocampo3619,Damien Harris,1
gocampo3619,Myles Gaskin,1
Ninked,Dalvin Cook,1
Ninked,James Robinson,1
Ninked,CeeDee Lamb,1
JbMcc13,Kyler Murray,2
JbMcc13,D'Andre Swift,1
JbMcc13,Darren Waller,1
kruse47,David Montgomery,1
kruse47,Antonio Gibson,1
kruse47,T.J. Hockenson,1
Trickydick514,Stefon Diggs,1
Trickydick514,Calvin Ridley,2
Emrtz,Mike Williams,1
Emrtz,DK Metcalf,1
Emrtz,Justin Jefferson,1
chilliah,Tee Higgins,1
RazorMuffin,Russell Wilson,1
RazorMuffin,Darrell Henderson,1
RazorMuffin,Alvin Kamara,1
Andjita,Nick Chubb,1
Andjita,Jonathan Taylor,1
Andjita,Tyreek Hill,1
