player_name,display_name,years_kept,position,draft_cost,keeper_cost
Michael Thomas,bringin' up the rear,0,WR,57,69
Mike Evans,bringin' up the rear,0,WR,35,44
Deshaun Watson,bringin' up the rear,1,QB,28,37
Todd Gurley,bringin' up the rear,0,RB,27,36
Marvin Jones,bringin' up the rear,0,WR,16,24
James White,bringin' up the rear,0,RB,9,16
Emmanuel Sanders,bringin' up the rear,0,WR,9,16
Tom Brady,bringin' up the rear,0,QB,7,14
Jordan Howard,bringin' up the rear,0,RB,6,13
Duke Johnson,bringin' up the rear,0,RB,6,13
Mike Gesicki,bringin' up the rear,0,TE,5,11
Darren Fells,bringin' up the rear,0,TE,undrafted,8
Larry Fitzgerald,bringin' up the rear,0,WR,2,8
Buffalo,bringin' up the rear,0,DEF,1,7
Curtis Samuel,bringin' up the rear,0,WR,1,7
Tampa Bay,Fight Milk,0,DEF,undrafted,ineligible
Derek Carr,Fight Milk,0,QB,undrafted,ineligible
Travis Kelce,Fight Milk,2,TE,48,ineligible
Boston Scott,Fight Milk,0,RB,1,ineligible
Ezekiel Elliott,Fight Milk,0,RB,59,71
Raheem Mostert,Fight Milk,0,RB,20,28
DK Metcalf,Fight Milk,0,WR,18,26
Tyler Boyd,Fight Milk,0,WR,15,22
Deebo Samuel,Fight Milk,0,WR,14,21
Sterling Shepard,Fight Milk,0,WR,7,14
Ben Roethlisberger,Fight Milk,0,QB,2,8
Jerick McKinnon,Fight Milk,0,RB,2,8
Justin Jefferson,Fight Milk,0,WR,1,7
Mike Williams,Fight Milk,0,WR,1,7
Josh Reynolds,Gerry's Kids,0,WR,undrafted,ineligible
John Brown,Gerry's Kids,2,WR,14,ineligible
Michael Gallup,Gerry's Kids,0,WR,14,ineligible
Julio Jones,Gerry's Kids,0,WR,48,59
Patrick Mahomes,Gerry's Kids,0,QB,31,40
Chris Carson,Gerry's Kids,1,RB,28,37
DJ Moore,Gerry's Kids,1,WR,24,32
A.J. Green,Gerry's Kids,0,WR,13,20
Myles Gaskin,Gerry's Kids,0,RB,undrafted,17
Malcolm Brown,Gerry's Kids,0,RB,undrafted,17
Keelan Cole,Gerry's Kids,0,WR,undrafted,16
Hunter Henry,Gerry's Kids,0,TE,5,11
Robert Tonyan,Gerry's Kids,0,TE,undrafted,8
New England,Gerry's Kids,0,DEF,2,8
Damien Harris,Gerry's Kids,0,RB,1,7
Parris Campbell,Gerry's Kids,0,WR,1,7
Jeff Wilson,King Of The Jeudys,0,RB,undrafted,ineligible
Le'Veon Bell,King Of The Jeudys,0,RB,23,ineligible
Kenny Golladay,King Of The Jeudys,2,WR,17,ineligible
Houston,King Of The Jeudys,0,DEF,2,ineligible
Dalvin Cook,King Of The Jeudys,0,RB,51,62
