The YAFL 2.0 Kept Players for 2021:

Andjita: Brandon Aiyuk - Years Kept 1
Andjita: D'Andre Swift - Years Kept 1
Andjita: Dak Prescott - Years Kept 2
Andjita: Myles Gaskin - Years Kept 1
Emrtz: Antonio Gibson - Years Kept 1
Emrtz: DK Metcalf - Years Kept 1
Emrtz: Deebo Samuel - Years Kept 1
Emrtz: Mike Williams - Years Kept 1
Ninked: Calvin Ridley - Years Kept 2
Ninked: Chase Claypool - Years Kept 1
Ninked: Courtland Sutton - Years Kept 2
Ninked: James Robinson - Years Kept 1
Ninked: Terry McLaurin - Years Kept 2
RazorMuffin: Darrell Henderson - Years Kept 1
RazorMuffin: Jerry Jeudy - Years Kept 1
Robbietee: Cooper Kupp - Years Kept 2
Robbietee: Marquise Brown - Years Kept 2
TexAgg10: Allen Robinson - Years Kept 2
TexAgg10: Derrick Henry - Years Kept 2
TexAgg10: T.J. Hockenson - Years Kept 1
Trickydick514: A.J. Brown - Years Kept 2
Trickydick514: Josh Allen - Years Kept 1
Trickydick514: Travis Kelce - Years Kept 1
TxRider: Damien Harris - Years Kept 1
TxRider: Jonathan Taylor - Years Kept 1
TxRider: Justin Herbert - Years Kept 1
TxRider: Kyler Murray - Years Kept 2
TxRider: Tee Higgins - Years Kept 1
chilliah: Austin Ekeler - Years Kept 2
chilliah: Darren Waller - Years Kept 2
chilliah: Lamar Jackson - Years Kept 2
