player_name,display_name,years_kept
Sony Michel,gnemos,2
DeAndre Hopkins,gnemos,2
Corey Davis,gnemos,2
Ja'Marr Chase,gocampo3619,1
Mark Andrews,gocampo3619,1
Kyle Pitts,gocampo3619,1
Javonte Williams,Ninked,1
Amon-Ra St. Brown,Ninked,1
CeeDee Lamb,Ninked,2
Marquise Brown,JbMcc13,1
D'Andre Swift,JbMcc13,2
Elijah Moore,JbMcc13,1
Austin Ekeler,kruse47,1
Cooper Kupp,kruse47,1
Dalton Schultz,kruse47,1
Josh Allen,Trickydick514,1
Mike Williams,Emrtz,2
Najee Harris,Emrtz,1
Justin Jefferson,Emrtz,2
Tee Higgins,chilliah,2
Hunter Renfrow,chilliah,1
Elijah Mitchell,chilliah,1
Russell Wilson,RazorMuffin,2
Jerry Jeudy,RazorMuffin,1
Alvin Kamara,RazorMuffin,2
J.K. Dobbins,Andjita,1
Jonathan Taylor,Andjita,2
Brandin Cooks,Andjita,1
Deebo Samuel,larrrl,1
Jaylen Waddle,larrrl,1
James Conner,MeatWizard,1
Cam Akers,MeatWizard,1
Michael Pittman,MeatWizard,1
